"date","continent_name","max_stringency_index","max_country_name","min_stringency_index","min_country_name"
20200401,"Africa","97.22","Congo","13.89","Burundi"
20200401,"Asia","100.00","Philippines","19.44","Tajikistan"
20200401,"Asia","100.00","Sri Lanka","19.44","Tajikistan"
20200401,"Asia","100.00","Jordan","19.44","Tajikistan"
20200401,"Asia","100.00","India","19.44","Tajikistan"
20200401,"Asia","100.00","Georgia","19.44","Tajikistan"
20200401,"Europe","100.00","Serbia","12.04","Belarus"
20200401,"Europe","100.00","Georgia","12.04","Belarus"
20200401,"North America","100.00","Honduras","15.74","Nicaragua"
20200401,"Oceania","96.30","New Zealand","40.74","Kiribati"
20200401,"South America","100.00","Argentina","57.41","Guyana"
